label	text_a
0	莫莫格 游览区   春秋 两季 百鸟 云集   鸟类 工作者 观鸟 旅游者 黄金 季节  
3	穷苦 大学生 双十 之后 吃土 请 赐 2999 过双 十二
2	下雨天 真的 真的 不想 跑 亲戚   辛辛苦苦 连续 工作 半个 月 得来 一天 假期 贡献   卧槽   不能 在家 嗨 皮  
3	听说 一月 十号 放寒假   宝宝 开心
1	加勒 古城   美瑞莎 海滩 落日 好美   成全 碧海 蓝天   听 一首 成全
0	  内部 审计 机构 应当 属于 所在单位 领导   但应 尽可能 组织 机构 方面 保持 职能 组织 独立性  
2	麻痹 智商 猪 吃 智商 下限
1	今天 某人 给我发 图   说 我存 好久       说 劝   chao   告   feng         觉得 温暖   心里 有种 酸酸的 感觉   不再 奢求 雄心壮志   不要 虚度光阴  
2	早晨   亲手 种 花 偷走
0	2003 年初   就职 香港 光华 文化 新闻 中心 主任  
0	云来 气接 巫峡 长   月 出寒通 雪山 白 ⑸  
3	太好了   放到 一个 无所谓 位置  
2	开心   超级 超级 超级 开心   noanyreason   justonlyunhappy  
3	青春   岁月   太多话 想 说   不知 从何说起  
2	体谅   不能 一而再 再而三   每年 公司 两会   总 惹出来 一肚子气   肝 不好   保持 克制   克制   克制   他妈的   克制  
2	傻   耍   笨   玩   糟糕 心情 莫过于此     承认 笨  
1	今天 下雨     这种 稀稀拉拉 缠绵 不断 雨 讨人厌   身边   一起 躲雨 跳水 坑 觉得 有趣 起来   考完试 第一天   拖欠 大雾 网络 自测题 写 完 圆满
2	想 干   见到 学员 离异 女性   心猿意马 想 入菲菲   反正 老婆   主要 机会 到位   方方面面 搞 女人 要花费   开房 干什么 服务员 你家 楼下 熟面孔   主要 怕 惹麻烦 关键时刻 收手   主要 心疼 房费 埋单 下次
1	永恒 遥远   记 眼睛 里  
1	午夜 场 007 回来 路上   共用 一条 围巾   一路上 靠着 走路
0	毕业 后留 河北大学 古籍整理 研究所 工作   1994 年调 中文系 副 主任  
1	陈奕迅 杨千嬅   适合 做 老公 适合 做 老婆   唯独 适合   总有 无法 避免 故事 前提 不可 抗争 因素 会 发生   感谢 发生   这会 多个 朋友 多个 兄弟   朋友 情侣   之间 干什么 干 不干   之间 满满的 顾虑   多个 兄弟   真
0	生活 习性 安徽 一年 发生 二代   三   四龄 幼虫 越冬  
2	犯病   想 吃 童家 巷里 梅花 糕   wantgoto 南京   睡不着 午觉
4	吓死   阵势   豆腐 敲 两下 碎 不了  
3	相处 太久 平日 交往 里 或多或少 感觉 一点 不适 尴尬
2	这是 情况   新浪 微博 搜索 改版 简直 坨 shi   根本 搜 不到 新 东西   每次 搜索 好几个 小时 几天 以前 东西
5	晚上 朋友 说 吃面   加 一句   带上 碗筷
3	2015 年   冲击 最大 一年   可能 2016 还会 继续   学校   感受 想要 自由   很多 事情 发现自己 明白 太晚   总是 经历 明白 做 不到 经历 前 预知   太晚   没 得救   希望 仅剩 学生 时代 走  
0	PREGO 普 莱格 音效 复原  
1	大钟 继承 中华民族 优秀 传统   体现 时代 特色   具有 丰富 文化 内涵  
3	看着 镜子 里 白白胖胖   忽然 想到 小时候 看过 一部 动画片     人参 娃娃     忍不住 唱起来     种子   快 发芽   长 绿叶 开 红花       真的 不能 胖 下去  
0	  防晒   很多 知道   夏天 一定 注意 防晒   多数 知道   晒黑 其实 是从 春天   春天 夏日 炎炎 烈日   干燥 多风   紫外线 强烈   皮肤 新陈代谢 周期 28 天   春天 注意 防晒   皮肤 过多 暴露 紫外线   夏天 会 出现 晒斑   若到 想 补救   为时已晚  
0	最佳 旅游 时间 曲阜 四季 皆宜 旅游  
2	市北区 人民 路 287 号 居民小区 摊贩 三轮车   面包车   货车 进出 小区   马达 轰鸣   不停 鸣笛   噪音 扰民   占据 小区 大量 停车位   开关 车门   堵塞 小区 道路   小区 居民 强烈要求 封闭 小区   禁止 摊贩 车辆   人员 进入   小区 居民 一个 干净   安静   正常 生活 环境         青岛市 市北区 四方 街道 办事处
5	老版 西游记 真的 二十 集么 九九八十一 集 嘞
2	牙快 疼 死   每天 牙疼 折磨   疯
3	帮跑友 填 报名表 睡着   小眯 一下   说   白忙 说   理解 玩命 干活 没有 好处 可能     知道   累 知道   一名 马拉松 爱好者   肯定 不会 做
2	福龙 路 龙华 福田 方向   每天 时       堵   堵     堵         深圳 交警   深圳 交警   深圳 交警 路况 播报
0	同一 时间段 洛阳 湛江 铁路 通道 邵阳 永州 段 建设 完成  
2	今天 收到 一个 骗子 电话   一口 广东话   听 听不懂   说 买 东西 出现 问题   银行卡   问 绑定 手机 没有   草泥马   真的   普通话 不会 说 骗人  
1	清晨 小红花 漂酿   超级 幸福  
3	宽恕 代表 忘记   代表 赦免     放 一条 生路  
0	七   依法 吸取 合同 实施 监督管理   负责管理 动产 抵押 登记   组织 监督管理 拍卖行   负责 依法查处 合同 欺诈 违法行为  
1	遍   一直 笑   一个 新 突破   永远 支持   1212 见
2	不吃 空姐 准备 午餐   要求 吃 这位 空姐 午餐  
2	十一点 售票   现在 放 少 票
5	今天   应该 说 昨天   糖豆 竟然 咬了一口 香皂
2	魔鬼 式 突破 训练 刚刚 结束   整宿   超负荷 高强度 运转   超越自我   潜能 无限 _____ 敢试              
1	天灯   水灯   cookingclass   泰拳   马杀鸡   宁曼路   充满 体验 感 清迈   偶来  
0	敌为 夺回 阵地   调集 约 个团 兵力 疯狂 反扑   英勇 红军 将士 击退  
3	  非天 夜翔   雷蒙和科 洛林 相比   更 喜欢 科 洛林     纯粹 直觉   科 洛林 肩负 太大 责任   欧泊 性格 里 懦弱 一面   无法 接受 雷蒙 永远 离开   科 洛林 失去   觉得 心酸   重新认识 雷蒙     记忆 消失   爱上 其他人   爱 认识 雷蒙有 区别  
3	总 觉得 很多 事会 稍纵即逝 写作 灵感 做 一件 事 冲劲 不要
2	有时候 十分 庆幸 原著 粉   作者 粉   看到 努力 洗白   real 尴尬  
1	每个 萌娃 一个 属于 童话 梦想 米 帝欧 蛋糕 陪伴 孩子 甜蜜 成长 每个 女孩儿 成为 梦想 公举  
4	正月 十四日 早   女子 来到 义军 营帐   哭求 义军 救 一命  
0	二   奖励 对象 奖励 办法   奖励 对象 清华大学 品学兼优 研究生   有志于 国内 进一步 深造 攻读 双学位 高年级 学生  
0	村中 建有 周氏 宗祠   又称   濂 溪 祠  
2	MB   女司机 砸   吃 你家 喝 你家   问候 先人
2	Fxxx 真的 大大 大大 bitch 无关   纯粹 讨厌  
1	阳哥 今晚 发现 心情 不好   说   送 一件 礼物   说 包里 拿出 一张 信用卡 说   花     咱俩 分工 明确   是不是 开心 不少   瞬间 有种 很难 表达 想法  
3	前天 刚到 6s 昨天 屏幕 摔 烂   换 屏幕 900
0	第三条     中央财政 现代农业 发展 资金 整合 项目 建设 实行   统筹规划   集中管理   分工负责   分口 实施   优势互补   各记 其功 管理体制  
0	云南 墨江 紫米   番茄 味 沙丁鱼 罐头   买 耐噶紫米   不煲 忘   紫米   白米 一半   太耐 煮饭   水 好似 放得 系好够   电饭煲 竟然   痴   底
0	生活   选择 生活   生活 选择   主动 被动
0	琅 琊 新区 滁州市   滁城 建设 一部分   琅琊区 未来 行政 中心 所在地   琅琊区 重点 发展 区域  
1	工行 无卡 取现 强大   以后 出门 估计 带个 手机 搞定
3	矫情   知道 今夜 不能 平安 度过     知道 做些    
3	人生 中 没 一个 戒不掉   只不过 每个 人生 点 幸运
1	总 想 感叹 一下 生活 无聊 回忆 起来 总是 有趣
2	妈 鸡修 停车场   外面 起码 130 分贝   平时 喜欢 骂 不能 骂
4	没有 办法 告诉 时间 一个 迷路 害怕   没有 办法 告诉 下车 看到 一个 完全 陌生 地点 惶恐   没有 办法 说 车站 等待 想 立马 买票 连夜 返回 沈阳   看着 熙熙攘攘   来来往往 人群   心里 没有 一丝 放假 愉悦   脑袋 里 蹦出来 全是 犯罪 纪录片   分不清 东南西北   一个       展开 全文 c
0	代谢 流 概念 实际上 新  
0	说 长得 李小璐   我肿 没 感觉  
1	伴着 雨声 入睡 感觉 特别 安心 最好 雨下 一整夜 晚安 梦
3	  几十年 后尘 尘土 归土   难得 世上 走一遭   总 纠结 在意 想   开 开心 多操 点心  
0	相继 海德尔 堡 学院   艾尔弗雷德 大学 及罗彻 大学 学习  
1	最近 常常 会 觉得 圆满 幸运   很多 事情 做 努力   感恩 家人 感恩 朋友 感恩 生活   爱 包围 会 快乐 向前走 不会 恐惧        
0	美国芝加哥大学 著名 数学家 迪克森   L   E   Dickson   说   感谢 神 数论 没有 应用 玷污  
3	妈妈   反正 北京 想象 中   霸州 多好   naonao 家多  
2	别以为 北方 冻成 狗 南方 快 冻成 狗
3	期待 明天 世界 冰天雪地 模样   坐等 地球 自动关机    
2	素质 顾客   无语 O __ O       不想 说 骂人 不想   心里 一万只 草 尼玛 奔腾  
0	  三   行政 审批 股   加挂   政策法规 股 牌子    
2	气 睡觉 直凿 床   尼玛   一个多月 扣 18 分   罚款 1040   真 尼玛 够 送 回来 特意 回去 走 高速   怕 超速 扣分   尼玛   走 高速 不行   特 速度 激情   撒冷别 开车   扣下去   日子 不起   败家 老爷   求 领走
3	昨天 遇到 一个 高中同学   有点 认不出来   默默 总结 一下   近几年 高中毕业 碰到 同学   似乎 变 漂亮      
5	人生 过客   忘掉   很快 忘记   忘不掉   记不住   无所谓   会 一起 走 下去 不会 突然 离开   突然 出现   几乎 惊慌失措     有点 欣喜   有点 害怕 是不是 不会 结束
3	视频 一位 孕妇   怀孕 前得 妇科炎症   一直 理会   宝宝 尾椎骨 长 一个 超大 肿瘤   宝宝 差不多   实在 太大  
2	肺 快 气炸   弟弟 够   睡觉 安稳 踢 柜子   妈妈    
2	麻痹 鬼 WIFI     一点 力    
3	最近 真是 好心 塞   极品 找事 气 发蒙   告诫 遍 没有 关系 工作   公司 吵架 吵   觉得 受不了   双十 一给 爸爸 买 鞋 合适 想换 一下   妈妈 寄 嫌 麻烦 高兴   整个 心里 塞到 不行     想 哭    
3	既择 则安之 这句 话 骗 心里 忽然 特别 难过
5	一个 跳舞 视频 居然 赞 转 多次
2	现在 唯一 消遣 看中 文书   这是 生活 简直 烂醉   已经 不再 微醺  
2	一点 28 分 修路   不用 午休
1	  必须 全力以赴 抱持 希望   做 事 全世界 重要 一件 事 知道 这件 事 根本 无关紧要    
5	天 噜     听说 范范 黑人 形婚  
2	拽   狂   圆 了不起
